Genus;Species;cluster
Acinetobacter;unknown species;Cluster_7413
Anaerovorax;unknown species;Cluster_7415
Paucilactobacillus;Multi-affiliation;Cluster_7422
Aeromonas;Multi-affiliation;Cluster_7423
Desulfomicrobium;Desulfomicrobium baculatum;Cluster_7427
Desulfovibrio;Multi-affiliation;Cluster_7433
Lachnoclostridium;Multi-affiliation;Cluster_7434
Flavobacterium;unknown species;Cluster_7436
Peredibacter;unknown species;Cluster_74367
Bacteroides;unknown species;Cluster_7438
Legionella;Multi-affiliation;Cluster_74388
unknown genus;unknown species;Cluster_7445
Acidovorax;Multi-affiliation;Cluster_74468
JTB215;bacterium str. 77003;Cluster_7453
Buttiauxella;Buttiauxella brennerae;Cluster_7456
Acinetobacter;Acinetobacter xiamenensis;Cluster_746
Leminorella;Leminorella grimontii;Cluster_7468
Bdellovibrio;unknown species;Cluster_7469
OM60(NOR5) clade;unknown species;Cluster_7474
Lysobacter;Lysobacter gummosus;Cluster_7482
Acetobacteroides;Bacteriodetes bacterium enrichment culture clone AP-FeEnrich5;Cluster_7484
Candidatus Accumulibacter;beta proteobacterium pACH94;Cluster_7485
Desulfovibrio;Multi-affiliation;Cluster_749
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;metagenome;Cluster_7494
Macellibacteroides;Multi-affiliation;Cluster_75
Shewanella;Shewanella glacialipiscicola;Cluster_7504
Desulfovibrio;Multi-affiliation;Cluster_7506
unknown genus;unknown species;Cluster_7512
Burkholderia-Caballeronia-Paraburkholderia;Paraburkholderia fungorum;Cluster_7519
Bacteroides;bacterium NLAE-zl-H496;Cluster_7521
Rhizobacter;Multi-affiliation;Cluster_7522
Desulfovibrio;Desulfovibrio piger;Cluster_7523
Acinetobacter;Multi-affiliation;Cluster_7524
Acinetobacter;Acinetobacter baumannii;Cluster_7526
Lactococcus;Multi-affiliation;Cluster_7538
Aeromonas;Multi-affiliation;Cluster_754
unknown genus;unknown species;Cluster_7542
unknown genus;Aquimonas sp.;Cluster_7546
Comamonas;Comamonas jiangduensis;Cluster_7554
DTU089;unknown species;Cluster_7558
Pajaroellobacter;unknown species;Cluster_7563
unknown genus;metagenome;Cluster_7567
possible genus 06;unknown species;Cluster_7572
Multi-affiliation;Multi-affiliation;Cluster_7574
Aeromonas;unknown species;Cluster_75746
Aeromonas;unknown species;Cluster_7577
Pleomorphomonas;unknown species;Cluster_758
unknown genus;unknown species;Cluster_75819
Multi-affiliation;Multi-affiliation;Cluster_7589
Adlercreutzia;unknown species;Cluster_7594
Rhodococcus;Multi-affiliation;Cluster_760
Multi-affiliation;Multi-affiliation;Cluster_7609
Azospira;Multi-affiliation;Cluster_761
Geothrix;Multi-affiliation;Cluster_7612
Lactococcus;Multi-affiliation;Cluster_7623
unknown genus;metagenome;Cluster_7626
Multi-affiliation;Multi-affiliation;Cluster_7632
Hirschia;metagenome;Cluster_7639
Acinetobacter;Multi-affiliation;Cluster_764
Williamwhitmania;unknown species;Cluster_76434
Formivibrio;Formivibrio citricus;Cluster_7658
unknown genus;unknown species;Cluster_7660
Stenoxybacter;unknown species;Cluster_7675
Leucobacter;Multi-affiliation;Cluster_7677
Quatrionicoccus;Quatrionicoccus sp.;Cluster_769
Flavobacterium;unknown species;Cluster_7693
Aeromonas;Multi-affiliation;Cluster_7694
Rivicola;metagenome;Cluster_76940
unknown genus;unknown species;Cluster_7697
Prevotella_9;unknown species;Cluster_7699
Myroides;Multi-affiliation;Cluster_77
Beggiatoa;unknown species;Cluster_770
Dysgonomonas;unknown species;Cluster_7703
Kluyvera;Kluyvera sp.;Cluster_771
Pseudorhodobacter;Pseudorhodobacter ponti;Cluster_7712
Parabacteroides;Multi-affiliation;Cluster_77152
Herbinix;Multi-affiliation;Cluster_77167
Arcobacter;Multi-affiliation;Cluster_7730
Candidatus Berkiella;unknown species;Cluster_7740
Acetoanaerobium;Multi-affiliation;Cluster_7748
Aeromonas;Multi-affiliation;Cluster_7750
Bacteroides;Multi-affiliation;Cluster_7754
Desulfovibrio;Desulfovibrio simplex;Cluster_7755
Arcobacter;Multi-affiliation;Cluster_7767
unknown genus;unknown species;Cluster_77783
Acinetobacter;unknown species;Cluster_7789
unknown genus;unknown species;Cluster_77897
Chryseobacterium;Chryseobacterium sp.;Cluster_779
unknown genus;unknown species;Cluster_77908
Anaerostignum;[Clostridium] neopropionicum;Cluster_78
Lactococcus;Multi-affiliation;Cluster_7812
Uliginosibacterium;bacterium 6RO2;Cluster_7813
Proteocatella;unknown species;Cluster_7823
Proteocatella;unknown species;Cluster_7825
Aeromonas;Aeromonas enteropelogenes;Cluster_7831
Lachnospiraceae NK3A20 group;unknown species;Cluster_7846
Dysgonomonas;unknown species;Cluster_7851
unknown genus;unknown species;Cluster_7857
Zoogloea;Zoogloea sp.;Cluster_7867
Aeromonas;Multi-affiliation;Cluster_7868
Bryobacter;unknown species;Cluster_787
unknown genus;unknown species;Cluster_7874
Paludibacter;unknown species;Cluster_7882
Erysipelothrix;Erysipelothrix rhusiopathiae;Cluster_7893
Multi-affiliation;Multi-affiliation;Cluster_7910
Acinetobacter;Acinetobacter bohemicus ANC 3994;Cluster_7917
Arcobacter;Multi-affiliation;Cluster_7940
Leptothrix;unknown species;Cluster_7946
Candidatus Competibacter;unknown species;Cluster_79655
unknown genus;unknown species;Cluster_7972
Halomonas;Pseudomonas sp.;Cluster_798
Candidatus Paracaedibacter;Multi-affiliation;Cluster_79828
Mesorhizobium;Multi-affiliation;Cluster_7986
Proteocatella;Frigovirgula sp.;Cluster_799
Lachnoclostridium;Multi-affiliation;Cluster_80
Desulfovibrio;Multi-affiliation;Cluster_800
Aeromonas;Multi-affiliation;Cluster_8000
Aeromonas;Multi-affiliation;Cluster_8008
Butyrivibrio;Butyrivibrio crossotus;Cluster_80102
Fusibacter;unknown species;Cluster_8012
Acinetobacter;Acinetobacter sp.;Cluster_8019
Coriobacteriaceae UCG-003;unknown species;Cluster_8021
unknown genus;unknown species;Cluster_8027
Candidatus Accumulibacter;unknown species;Cluster_8029
Anaerostignum;Clostridiaceae bacterium BEN9;Cluster_8034
Acinetobacter;Multi-affiliation;Cluster_8041
unknown genus;unknown species;Cluster_8044
Kerstersia;Kerstersia gyiorum;Cluster_805
Butyricimonas;unknown species;Cluster_80551
Leucobacter;unknown species;Cluster_8060
Paludibacterium;Neisseriaceae bacterium BFE30I;Cluster_8065
Chromobacterium;Chromobacterium aquaticum;Cluster_807
Pleomorphomonas;unknown species;Cluster_8071
Citrobacter;Multi-affiliation;Cluster_8073
Lactococcus;Multi-affiliation;Cluster_8074
Proteocatella;unknown species;Cluster_8079
unknown genus;unknown species;Cluster_8092
unknown genus;gut metagenome;Cluster_8095
Comamonas;Multi-affiliation;Cluster_81
Aeromonas;Multi-affiliation;Cluster_8101
Hypnocyclicus;unknown species;Cluster_8104
Acinetobacter;Acinetobacter xiamenensis;Cluster_8124
Peredibacter;unknown species;Cluster_8126
unknown genus;unknown species;Cluster_8130
Tissierella;Tissierella creatinophila;Cluster_8133
Alistipes;Multi-affiliation;Cluster_8134
Desulfovibrio;unknown species;Cluster_8141
Peredibacter;unknown species;Cluster_8146
unknown genus;unknown species;Cluster_8148
Aeromonas;Aeromonas finlandensis;Cluster_815
Brevundimonas;Brevundimonas mediterranea;Cluster_8151
unknown genus;unknown species;Cluster_8158
Dialister;Multi-affiliation;Cluster_817
unknown genus;unknown species;Cluster_8184
unknown genus;unknown species;Cluster_8185
Rikenellaceae RC9 gut group;Multi-affiliation;Cluster_819
Proteocatella;unknown species;Cluster_8198
Desulfovibrio;unknown species;Cluster_82
Desulfobulbus;unknown species;Cluster_822
Multi-affiliation;Multi-affiliation;Cluster_8226
Aeromonas;Multi-affiliation;Cluster_8230
Prevotella_9;unknown species;Cluster_8236
Ellin6067;unknown species;Cluster_82376
Candidatus Gigarickettsia;unknown species;Cluster_82437
WCHB1-32;unknown species;Cluster_825
Cedecea;Cedecea davisae;Cluster_8250
Aeromonas;unknown species;Cluster_82696
Dysgonomonas;Dysgonomonas sp.;Cluster_827
Aeromonas;unknown species;Cluster_8274
Candidatus Riegeria;unknown species;Cluster_8279
Bacteroides;unknown species;Cluster_8280
Fluviicola;unknown species;Cluster_8284
Aeromonas;Multi-affiliation;Cluster_8287
Arcobacter;Multi-affiliation;Cluster_8290
Azonexus;unknown species;Cluster_8296
Alkanindiges;unknown species;Cluster_830
Flavobacterium;unknown species;Cluster_8301
unknown genus;unknown species;Cluster_8302
Multi-affiliation;Multi-affiliation;Cluster_831
Candidatus Accumulibacter;unknown species;Cluster_832
Howardella;unknown species;Cluster_8325
Aeromonas;unknown species;Cluster_8326
Bacteroides;unknown species;Cluster_83291
Petrimonas;unknown species;Cluster_8332
Blvii28 wastewater-sludge group;unknown species;Cluster_835
Aeromonas;Multi-affiliation;Cluster_8360
Sulfurospirillum;unknown species;Cluster_8375
Aeromonas;Multi-affiliation;Cluster_8378
Aeromonas;Multi-affiliation;Cluster_83801
Desulfobulbus;unknown species;Cluster_8382
Multi-affiliation;Multi-affiliation;Cluster_8386
unknown genus;unknown species;Cluster_83899
Tyzzerella;unknown species;Cluster_839
Multi-affiliation;Multi-affiliation;Cluster_8391
Leptotrichia;metagenome;Cluster_8393
Fluviicola;unknown species;Cluster_8399
Acetoanaerobium;Multi-affiliation;Cluster_8400
Paracoccus;Multi-affiliation;Cluster_841
Proteocatella;unknown species;Cluster_84102
Mitsuokella;Mitsuokella multacida;Cluster_8414
XBB1006;Multi-affiliation;Cluster_8415
Multi-affiliation;Multi-affiliation;Cluster_843
Tolumonas;Tolumonas auensis;Cluster_8432
Acidovorax;Acidovorax wohlfahrtii;Cluster_84343
Thiothrix;unknown species;Cluster_8437
Subdoligranulum;Multi-affiliation;Cluster_8438
Carboxylicivirga;unknown species;Cluster_844
Acinetobacter;Acinetobacter xiamenensis;Cluster_8443
unknown genus;unknown species;Cluster_8449
unknown genus;Multi-affiliation;Cluster_845
Kaistia;Multi-affiliation;Cluster_847
Vitreoscilla;unknown species;Cluster_8483
Raoultella;Multi-affiliation;Cluster_8495
Acinetobacter;Acinetobacter xiamenensis;Cluster_85
Arcobacter;Multi-affiliation;Cluster_8500
Psychrobacter;Psychrobacter sp.;Cluster_8509
U29-B03;unknown species;Cluster_8515
Luteimonas;unknown species;Cluster_8516
Arcobacter;unknown species;Cluster_8524
Multi-affiliation;Multi-affiliation;Cluster_8527
Enterobacter;Multi-affiliation;Cluster_85318
Aeromonas;Multi-affiliation;Cluster_8534
Bacteroides;Mogibacterium sp.;Cluster_8543
Providencia;Providencia stuartii;Cluster_8575
Lachnospiraceae UCG-001;unknown species;Cluster_8578
Morganella;Multi-affiliation;Cluster_8580
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_8584
Leucobacter;Multi-affiliation;Cluster_859
unknown genus;unknown species;Cluster_8591
Aeromonas;Multi-affiliation;Cluster_8592
Dongia;unknown species;Cluster_85954
UCG-009;bacterium NLAE-zl-C231;Cluster_86
Sphingobacterium;Multi-affiliation;Cluster_860
unknown genus;unknown species;Cluster_8601
Arenimonas;unknown species;Cluster_8602
Acidovorax;Multi-affiliation;Cluster_86020
Multi-affiliation;Multi-affiliation;Cluster_861
unknown genus;unknown species;Cluster_8612
Multi-affiliation;Multi-affiliation;Cluster_8615
Nitrospira;Multi-affiliation;Cluster_8616
Endomicrobium;unknown species;Cluster_86164
Emticicia;Emticicia ginsengisoli;Cluster_86185
Endomicrobium;unknown species;Cluster_8619
Lactococcus;Lactococcus raffinolactis;Cluster_8620
unknown genus;unknown species;Cluster_8621
Multi-affiliation;Multi-affiliation;Cluster_8624
Haliangium;unknown species;Cluster_8629
unknown genus;Multi-affiliation;Cluster_8638
Tahibacter;metagenome;Cluster_8639
Aeromonas;Multi-affiliation;Cluster_8640
Multi-affiliation;Multi-affiliation;Cluster_8648
Acinetobacter;unknown species;Cluster_86614
unknown genus;unknown species;Cluster_8665
Iamia;Multi-affiliation;Cluster_8671
Desulforegula;unknown species;Cluster_8672
Tolumonas;unknown species;Cluster_8675
Acidovorax;Multi-affiliation;Cluster_86771
unknown genus;metagenome;Cluster_8694
Aeromonas;Multi-affiliation;Cluster_86986
Lactococcus;metagenome;Cluster_87
Acidaminobacter;unknown species;Cluster_8706
Aeromonas;Multi-affiliation;Cluster_87098
unknown genus;unknown species;Cluster_8711
unknown genus;unknown species;Cluster_87188
unknown genus;unknown species;Cluster_8720
Peredibacter;unknown species;Cluster_8721
Lachnoclostridium;[Clostridium] saccharolyticum;Cluster_8723
Bacteroides;Bacteroides sp.;Cluster_8727
Tyzzerella;unknown species;Cluster_8729
Haliangium;unknown species;Cluster_873
Peredibacter;unknown species;Cluster_8730
Pseudoruegeria;Multi-affiliation;Cluster_8736
Duganella;Pseudoduganella danionis;Cluster_8737
unknown genus;unknown species;Cluster_87389
unknown genus;metagenome;Cluster_8739
alphaI cluster;Multi-affiliation;Cluster_874
Pedobacter;Pedobacter boryungensis;Cluster_8742
unknown genus;unknown species;Cluster_8743
Clostridium sensu stricto 1;Clostridium tertium;Cluster_8745
Sutterella;Sutturella timonensis;Cluster_8749
Reyranella;Multi-affiliation;Cluster_875
Paraperlucidibaca;Paraperlucidibaca baekdonensis;Cluster_8752
unknown genus;unknown species;Cluster_8758
Lactococcus;Multi-affiliation;Cluster_8763
Desulfovibrio;microbial mat metagenome;Cluster_8765
[Agitococcus] lubricus group;metagenome;Cluster_8768
Candidatus Schmidhempelia;unknown species;Cluster_8773
Paludibacter;unknown species;Cluster_8775
unknown genus;unknown species;Cluster_8777
unknown genus;Multi-affiliation;Cluster_878
Flavobacterium;Flavobacterium sp.;Cluster_8780
Enterobacter;Lelliottia amnigena;Cluster_8781
unknown genus;unknown species;Cluster_8787
Bacteroides;Bacteroides caecicola;Cluster_8798
Rikenella;unknown species;Cluster_8804
Prevotellaceae UCG-001;unknown species;Cluster_8806
Defluviitaleaceae UCG-011;unknown species;Cluster_8810
Aeromonas;unknown species;Cluster_882
unknown genus;unknown species;Cluster_8820
Bacteriovorax;Bacteriovorax stolpii;Cluster_8821
Multi-affiliation;Multi-affiliation;Cluster_8823
unknown genus;metagenome;Cluster_8838
Dysgonomonas;unknown species;Cluster_884
Propionivibrio;unknown species;Cluster_8841
Multi-affiliation;Multi-affiliation;Cluster_885
unknown genus;metagenome;Cluster_8852
Aeromonas;Aeromonas rivuli;Cluster_886
Hirschia;Multi-affiliation;Cluster_887
Bernardetia;Bernardetia litoralis;Cluster_8871
unknown genus;unknown species;Cluster_88724
Propionivibrio;unknown species;Cluster_888
Chondromyces;Chondromyces lanuginosus;Cluster_8880
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_8883
Bifidobacterium;Multi-affiliation;Cluster_8886
Multi-affiliation;Multi-affiliation;Cluster_889
Bilophila;unknown species;Cluster_8891
Pseudoxanthomonas;Pseudoxanthomonas helianthi;Cluster_8894
BSV13;unknown species;Cluster_890
Multi-affiliation;Multi-affiliation;Cluster_8901
Shewanella;Shewanella morhuae;Cluster_8903
Dechlorobacter;unknown species;Cluster_8905
Crenothrix;unknown species;Cluster_8906
Lactococcus;Lactococcus raffinolactis;Cluster_8912
Acinetobacter;Acinetobacter xiamenensis;Cluster_8914
Bdellovibrio;Bdellovibrio sp.;Cluster_8915
Pantoea;Pantoea cypripedii;Cluster_8916
Flavobacterium;unknown species;Cluster_8921
unknown genus;unknown species;Cluster_8925
Paludibacter;Multi-affiliation;Cluster_8928
Pseudonocardia;Multi-affiliation;Cluster_8939
Comamonadaceae bacterium;Multi-affiliation;Cluster_894
unknown genus;metagenome;Cluster_8945
unknown genus;unknown species;Cluster_89469
Enterobacter;unknown species;Cluster_8952
unknown genus;unknown species;Cluster_8953
Paludibacter;Multi-affiliation;Cluster_8956
Acidaminobacter;unknown species;Cluster_8960
Aeromonas;Pseudaeromonas sharmana;Cluster_8961
Microbacterium;Microbacterium schleiferi;Cluster_8971
Cytophaga;Multi-affiliation;Cluster_8973
unknown genus;bacterium episymbiont of Kiwa sp.;Cluster_89824
unknown genus;unknown species;Cluster_8988
Lysobacter;Multi-affiliation;Cluster_899
Acinetobacter;Acinetobacter rudis CIP 110305;Cluster_8990
Flavobacterium;bacterium 7B4;Cluster_90
Macromonas;Multi-affiliation;Cluster_900
unknown genus;metagenome;Cluster_9000
Pajaroellobacter;metagenome;Cluster_9006
unknown genus;unknown species;Cluster_90082
unknown genus;metagenome;Cluster_9009
Candidatus Accumulibacter;metagenome;Cluster_9016
Actinomyces;unknown species;Cluster_902
Flavobacterium;unknown species;Cluster_9024
Sphingobacterium;Sphingobacterium yanglingense;Cluster_9027
unknown genus;Salmonella sp.;Cluster_903
Desulfovibrio;Multi-affiliation;Cluster_9032
Erwinia;Erwinia rhapontici;Cluster_9033
Aeromonas;Pseudaeromonas sharmana;Cluster_9044
unknown genus;unknown species;Cluster_9048
Clostridium sensu stricto 1;Multi-affiliation;Cluster_9049
Multi-affiliation;Multi-affiliation;Cluster_905
Delftia;Multi-affiliation;Cluster_90645
unknown genus;unknown species;Cluster_9066
Flavobacterium;Flavobacterium weaverense;Cluster_907
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium;Rhizobium ipomoeae;Cluster_9070
Multi-affiliation;Multi-affiliation;Cluster_9075
Faecalibacterium;unknown species;Cluster_90777
Carboxylicivirga;unknown species;Cluster_908
Ferrovibrio;Rhodospirillaceae bacterium GB9;Cluster_9081
Aeromonas;Multi-affiliation;Cluster_9082
Desulfovibrio;Desulfovibrio sp.;Cluster_9084
Bdellovibrio;unknown species;Cluster_9087
Flavobacterium;unknown species;Cluster_9089
unknown genus;metagenome;Cluster_9093
Multi-affiliation;Multi-affiliation;Cluster_9096
Pseudomonas;Multi-affiliation;Cluster_91
unknown genus;metagenome;Cluster_9107
unknown genus;unknown species;Cluster_9108
Curvibacter;unknown species;Cluster_9114
WCHB1-32;unknown species;Cluster_9118
Fibrobacter;unknown species;Cluster_9119
unknown genus;unknown species;Cluster_9121
Bernardetia;Bernardetia litoralis;Cluster_9127
unknown genus;unknown species;Cluster_914
unknown genus;unknown species;Cluster_9149
unknown genus;metagenome;Cluster_9175
Cronobacter;Multi-affiliation;Cluster_919
Lysobacter;Multi-affiliation;Cluster_9191
Desulforhopalus;unknown species;Cluster_9195
Multi-affiliation;Multi-affiliation;Cluster_9197
unknown genus;unknown species;Cluster_9204
Multi-affiliation;Multi-affiliation;Cluster_9206
Desulfovibrio;Desulfovibrio simplex;Cluster_9214
unknown genus;unknown species;Cluster_9216
unknown genus;unknown species;Cluster_9222
Desulfovibrio;Multi-affiliation;Cluster_9232
Sphingobium;Multi-affiliation;Cluster_9239
unknown genus;unknown species;Cluster_924
Cellulomonas;Multi-affiliation;Cluster_9247
Phreatobacter;unknown species;Cluster_9248
Butyricimonas;Butyricimonas sp.;Cluster_9254
[Desulfobacterium] catecholicum group;unknown species;Cluster_9262
unknown genus;unknown species;Cluster_9272
Desulfovibrio;Desulfovibrio sp.;Cluster_9279
unknown genus;metagenome;Cluster_9286
unknown genus;metagenome;Cluster_9287
unknown genus;unknown species;Cluster_9295
unknown genus;unknown species;Cluster_9296
Sporocytophaga;unknown species;Cluster_9298
Acidovorax;Multi-affiliation;Cluster_93
unknown genus;unknown species;Cluster_930
Rhodoblastus;Rhodoblastus sphagnicola;Cluster_9300
Bacteroides;unknown species;Cluster_9303
Duganella;Duganella sp.;Cluster_9308
Multi-affiliation;Multi-affiliation;Cluster_931
Thermomonas;Thermomonas brevis;Cluster_9317
unknown genus;unknown species;Cluster_9321
Flavobacterium;Flavobacterium sp.;Cluster_9322
Actinomyces;unknown species;Cluster_9333
Dysgonomonas;Multi-affiliation;Cluster_9334
Pectobacterium;Pectobacterium sp.;Cluster_9335
Tessaracoccus;unknown species;Cluster_9340
unknown genus;unknown species;Cluster_9352
Multi-affiliation;Multi-affiliation;Cluster_9358
Desulfobotulus;Desulfobotulus sapovorans;Cluster_9374
Anaerosinus;Anaerosinus glycerini;Cluster_9376
unknown genus;unknown species;Cluster_9380
Insolitispirillum;Insolitispirillum peregrinum;Cluster_9383
unknown genus;metagenome;Cluster_9392
BIyi10;unknown species;Cluster_9393
Comamonas;Multi-affiliation;Cluster_94
unknown genus;Multi-affiliation;Cluster_9403
Treponema;Multi-affiliation;Cluster_9412
unknown genus;unknown species;Cluster_942
Candidatus Obscuribacter;metagenome;Cluster_9420
unknown genus;unknown species;Cluster_9426
Flavobacterium;Multi-affiliation;Cluster_944
Arenimonas;Multi-affiliation;Cluster_945
Taibaiella;unknown species;Cluster_9451
Aeromonas;Aeromonas enteropelogenes;Cluster_9455
Aeromonas;unknown species;Cluster_9459
Desulfatiferula;Multi-affiliation;Cluster_946
Clostridium sensu stricto 18;Multi-affiliation;Cluster_9460
Propionicicella;Dehalobacter sp.;Cluster_9463
Desulfatiferula;unknown species;Cluster_9465
P3OB-42;unknown species;Cluster_9466
Rhodobacter;Multi-affiliation;Cluster_947
unknown genus;unknown species;Cluster_94718
unknown genus;Alphaproteobacteria bacterium;Cluster_9474
Catenibacillus;unknown species;Cluster_94766
unknown genus;unknown species;Cluster_9479
Multi-affiliation;Multi-affiliation;Cluster_9480
Multi-affiliation;Multi-affiliation;Cluster_949
unknown genus;unknown species;Cluster_9491
Flavobacterium;unknown species;Cluster_9501
Desulfovibrio;Multi-affiliation;Cluster_9510
Desulfovibrio;Multi-affiliation;Cluster_9511
Multi-affiliation;Multi-affiliation;Cluster_9517
unknown genus;unknown species;Cluster_95173
Chryseobacterium;Flavobacterium sp.;Cluster_95182
Emticicia;Multi-affiliation;Cluster_9522
unknown genus;unknown species;Cluster_9527
[Eubacterium] eligens group;Multi-affiliation;Cluster_953
Gordonibacter;Gordonibacter massiliensis;Cluster_9530
unknown genus;unknown species;Cluster_9533
Hassallia;metagenome;Cluster_9538
Pseudochrobactrum;Multi-affiliation;Cluster_9540
Lachnoclostridium;Multi-affiliation;Cluster_9541
Allisonella;Multi-affiliation;Cluster_9542
unknown genus;unknown species;Cluster_9548
Dysgonomonas;unknown species;Cluster_955
Acinetobacter;Acinetobacter xiamenensis;Cluster_9553
Sebaldella;Sebaldella termitidis ATCC 33386;Cluster_9554
unknown genus;metagenome;Cluster_9565
OLB12;unknown species;Cluster_9571
Chryseobacterium;Flavobacteriaceae bacterium;Cluster_9572
Oligoflexus;unknown species;Cluster_9573
Aeromonas;Multi-affiliation;Cluster_9577
Bdellovibrio;unknown species;Cluster_95790
Prevotella;unknown species;Cluster_95832
Ancylobacter;Bosea sp.;Cluster_9587
Tolumonas;Tolumonas auensis;Cluster_959
unknown genus;unknown species;Cluster_9597
unknown genus;unknown species;Cluster_96115
Propionispira;Propionispira arcuata;Cluster_9615
Pseudochrobactrum;Multi-affiliation;Cluster_9616
Sutterella;Multi-affiliation;Cluster_962
Multi-affiliation;Multi-affiliation;Cluster_9623
Aeromonas;Multi-affiliation;Cluster_96231
Desulfovibrio;microbial mat metagenome;Cluster_9626
Multi-affiliation;Multi-affiliation;Cluster_96274
Flavobacterium;Multi-affiliation;Cluster_9629
Multi-affiliation;Multi-affiliation;Cluster_9633
Enterobacter;Buttiauxella sp.;Cluster_9638
RBG-16-49-21;microbial mat metagenome;Cluster_964
unknown genus;unknown species;Cluster_9646
Formivibrio;Formivibrio citricus;Cluster_9647
unknown genus;unknown species;Cluster_966
Acinetobacter;Multi-affiliation;Cluster_9666
Phaselicystis;unknown species;Cluster_9680
Formivibrio;Formivibrio citricus;Cluster_969
Pantoea;Erwinia amylovora;Cluster_9690
Desulfovibrio;Desulfovibrio sp.;Cluster_9691
unknown genus;metagenome;Cluster_9692
Pedobacter;Pedobacter xixiisoli;Cluster_96924
Chryseobacterium;Chryseobacterium antarcticum;Cluster_970
Sutterella;Sutterella sp.;Cluster_9703
Multi-affiliation;Multi-affiliation;Cluster_97082
Anaerostipes;Multi-affiliation;Cluster_972
unknown genus;unknown species;Cluster_9720
unknown genus;microbial mat metagenome;Cluster_9736
Halomonas;Candidatus Halomonas phosphatis;Cluster_9739
Propionivibrio;metagenome;Cluster_9741
Micropruina;unknown species;Cluster_9743
Aeromonas;Multi-affiliation;Cluster_97463
Gordonia;Gordonia rhizosphera;Cluster_9750
Castellaniella;Alcaligenaceae bacterium UASWS0949;Cluster_9755
unknown genus;unknown species;Cluster_9756
Treponema;Multi-affiliation;Cluster_9758
unknown genus;unknown species;Cluster_9759
Lactococcus;unknown species;Cluster_976
Desulfovibrio;Multi-affiliation;Cluster_9762
Lentimicrobium;unknown species;Cluster_9764
unknown genus;Multi-affiliation;Cluster_9775
Lysinimicrobium;unknown species;Cluster_9777
Thauera;Multi-affiliation;Cluster_978
unknown genus;unknown species;Cluster_97844
Prevotellaceae NK3B31 group;Multi-affiliation;Cluster_9785
unknown genus;unknown species;Cluster_9786
Multi-affiliation;Multi-affiliation;Cluster_979
Formivibrio;Formivibrio citricus;Cluster_9793
Desulfovibrio;Multi-affiliation;Cluster_9795
unknown genus;unknown species;Cluster_9797
unknown genus;beta proteobacterium Rufe9;Cluster_980
Bernardetia;Bernardetia litoralis;Cluster_9800
Alloprevotella;unknown species;Cluster_9805
Prevotellaceae UCG-001;unknown species;Cluster_9807
unknown genus;unknown species;Cluster_981
Rikenellaceae RC9 gut group;unknown species;Cluster_9813
Flavobacterium;Flavobacterium buctense;Cluster_9815
Flavobacterium;Multi-affiliation;Cluster_98227
Afifella;unknown species;Cluster_98229
Chryseolinea;unknown species;Cluster_9826
Arcobacter;Multi-affiliation;Cluster_983
unknown genus;unknown species;Cluster_9830
Empedobacter;Empedobacter sp.;Cluster_984
unknown genus;metagenome;Cluster_985
Multi-affiliation;Multi-affiliation;Cluster_9850
C1-B045;unknown species;Cluster_9853
Myroides;Myroides odoratimimus CIP 101113;Cluster_986
Tuzzerella;unknown species;Cluster_9863
Bacteriovorax;Bdellovibrio sp.;Cluster_9868
unknown genus;unknown species;Cluster_9872
Beggiatoa;unknown species;Cluster_9873
Aeromonas;Multi-affiliation;Cluster_9877
Macellibacteroides;Multi-affiliation;Cluster_98776
Multi-affiliation;Multi-affiliation;Cluster_9880
Lachnoclostridium;unknown species;Cluster_9885
Ahniella;unknown species;Cluster_9888
Proteiniclasticum;Multi-affiliation;Cluster_989
unknown genus;unknown species;Cluster_9890
Candidatus Accumulibacter;unknown species;Cluster_9892
Defluviicoccus;unknown species;Cluster_9896
unknown genus;unknown species;Cluster_9898
Leadbetterella;Leadbetterella byssophila;Cluster_9903
unknown genus;unknown species;Cluster_9907
unknown genus;unknown species;Cluster_9911
Pedobacter;unknown species;Cluster_9913
unknown genus;unknown species;Cluster_9925
Acinetobacter;Acinetobacter xiamenensis;Cluster_993
Desulfovibrio;unknown species;Cluster_9935
WCHB1-32;unknown species;Cluster_995
unknown genus;metagenome;Cluster_99518
Aeromonas;Multi-affiliation;Cluster_9956
Atlantibacter;Atlantibacter subterranea;Cluster_996
unknown genus;metagenome;Cluster_9960
unknown genus;unknown species;Cluster_9970
alphaI cluster;unknown species;Cluster_9974
[Agitococcus] lubricus group;metagenome;Cluster_9976
unknown genus;unknown species;Cluster_9981
Multi-affiliation;Multi-affiliation;Cluster_9982
oc32;unknown species;Cluster_9994
unknown genus;metagenome;Cluster_9998
unknown genus;unknown species;Cluster_9999
